가게명,판매업종,배달소요시간,평점,리뷰수,배달기준금액,배달비
새우치킨덤-창동점,5,52,4.9,201,16900,4300
꼬꼬스토리-중계은사점,5,23,4.8,152,15000,4400
KFC-노원역점,5,49,4.6,760,11000,3000
마로바베큐치킨,5,51,4.7,87,14000,3500
닥엔돈스직화바베큐치킨-상계점,5,52,5.0,6,19000,2500
알통떡강정-상계점,5,51,5.0,28,15000,2500
88옛날통닭&안주마을,5,49,4.6,48,15000,3000
채선당도시락&샐러드-마들점,5,18,4.8,562,15000,2900
God치킨,5,49,4.9,47,12000,4000
치탑7-수락산점,5,52,4.1,31,13000,2000
파스타집이야-노원점,6,45,4.9,453,8000,2500
피자헤븐-상계점,6,49,5.0,1848,17000,1000
파스타집이야-노원점,6,45,4.9,453,8000,2500
피자헤븐-상계점,6,49,5.0,1848,17000,1000
피플스파스타-노원점,6,30,4.9,199,14000,3000
프레드피자-서울노원점,6,50,4.9,209,15900,3000
피자벨리-본점,6,55,4.9,479,15900,2000
오늘은스파게티&치즈밥-노원구점,6,58,4.8,69,13000,3500
세븐한식&분식천국,6,55,4.7,847,13000,3000
레전드고기한상-도봉점,6,53,4.8,378,10000,3000
599버거,6,55,4.9,182,10500,4000
덕수파스타-수유점,6,60,5.0,1,12000,3900
서오릉피자-노원상계점,6,52,4.8,167,15000,1500
7번가피자-상계점,6,52,4.9,5871,19000,1000
요녀석파스타&필라프-도봉점,6,53,4.9,555,10000,2900
자가제빵선명희피자-창동점,6,21,4.9,1478,20000,2400
스파게티스토리-노원점,6,16,4.9,1133,13000,2400
파스타한끼!,6,50,4.9,74,5000,2000
젓가락파스타&돈부리,6,17,4.9,388,7000,2400
빨간모자피자-노원점,6,53,4.9,173,15000,1500
도로시파스타연정-노원중앙점,6,50,4.9,156,8000,2500
로니로티-노원점,6,52,4.8,120,15000,1500
피제이피자-노원직영점,6,53,4.9,1202,14900,1000
반올림피자-상계중계점,6,53,4.8,1635,15900,2000
서양국시,6,20,4.9,120,10000,2000
옐로우피자-상계점,6,50,5.0,629,15900,1000
파스타입니다-노원점,6,52,4.9,1310,7000,3200
피자에땅-중계점,6,53,4.7,941,15900,1000
버텍스미국식덮밥-노원점,6,18,4.8,342,9900,3400
피자런-수락점,6,53,5.0,252,11900,1000
폭풍토핑피자스톰-노원점,6,50,4.8,49,15900,2000
피자아이씨-중계본동점,6,52,4.9,58,15000,3000
피자애-노원역점,6,52,4.8,338,11000,1000
아웃백-노원점,6,50,4.8,387,20000,2500
봉대박파스타&스테이크-노원역점,6,22,4.9,292,15000,3400
슬로우캘리-노원점,6,18,4.9,92,12000,3400
피자1989-상계점,6,52,4.9,886,15900,3500
파파존스피자-노원점,6,52,4.7,594,19900,2000
써브웨이-수락산역점,6,53,4.9,70,12900,2900
피자헛-수락산역점,6,53,4.7,1569,19900,2000
왕손피자-도봉구점,6,50,4.9,1267,15000,2000
서가앤쿡-서울노원점,6,52,4.8,201,20000,3000
백종원의롤링파스타-노원역점,6,52,4.8,388,15000,4000
미스터피자-상계점,6,53,4.6,775,19900,2000
피자창고,6,53,4.9,109,12500,1000
올드델리,6,15,4.7,364,15000,3400
올리오,6,21,4.7,215,11000,3400
이퓨레,6,20,4.9,103,12000,2400
