가게명,판매업종,배달소요시간,평점,리뷰수,배달기준금액,배달비
돈카살롱-마들역점,9,17,4.9,14,14000,2900
바다와새우,9,54,4.8,66,20000,2000
아오리-노원점,9,54,4.4,11,12000,2500
코바코-상계점,9,54,4.4,201,15000,2000
미스터빽실장-본점,9,16,4.9,379,20000,4400
뜸들이다-창동점,9,17,4.9,1672,8700,2400
커사스,9,21,4.9,99,12500,2900
명인만두-방학점,9,52,4.6,1508,12000,3000
마들회마트,9,49,4.7,32,21000,2900
젓가락파스타&돈부리,9,17,4.9,388,7000,2400
"육회란연어다-중계,상계점",9,49,4.8,65,13800,2000
싱싱활어천국-노원점,9,23,4.9,157,20000,3900
네바다혼술횟집,9,51,4.7,451,21000,4000
교양식돈까스,9,17,5.0,13,15000,3400
일심당-도봉점,9,25,4.9,34,12000,4400
방아골스시,9,17,4.6,172,12000,3300
잇츠카츠-상계점,9,54,4.9,12,12000,2000
킹스김밥,9,53,4.8,467,12000,3000
김밥천국-공릉점,9,53,4.7,974,11000,3000
남도회을지로골뱅이,9,53,4.9,97,20000,3500
유참치,9,54,5.0,1,25000,3000
돈까스짱-방학동도깨비시장점,9,54,4.9,54,14000,4000
The수제돈까스&슬러시불냉면(강북점),9,25,4.9,3173,8500,6400
바다야숙성회,9,17,4.9,65,15000,3400
육회한도시락,9,49,4.8,180,14000,3500
타코타임타코야끼,9,51,4.8,981,12500,4500
채선당도시락&샐러드-마들점,9,18,4.8,562,15000,2900
삿갓봉초밥,9,54,4.9,319,17000,3000
청정바다수산-중계점,9,54,4.6,135,26000,3000
브라운돈까스-노원역점,9,54,4.8,44,15000,4000
옛날한우샤맛고-도봉점,9,53,0.0,0,25900,1500
어전-초밥전문점,9,49,4.5,350,18000,3000
오니기리와이규동-은행사거리점,9,18,4.6,216,15000,4400
노량진수산시장벌교아줌마,9,90,4.7,1033,13000,20000
김밥천국-마들역점,9,52,4.5,338,15000,3000
동해수산물회센터,9,54,4.6,586,20000,9000
차고집칡냉면&수제돈까스,9,18,4.9,1746,12000,2900
육회바른연어-쌍문점,9,54,5.0,194,10000,3500
은행골-도봉점,9,15,4.8,350,15000,2900
돈까스짱-상계점,9,54,4.8,83,15000,3500
스시노칸도-노원점,9,54,4.8,62,14000,2000
파스타입니다-노원점,9,53,4.9,1310,7000,3200
1%활어&숙성회,9,22,5.0,144,17000,5400
스시통-본점,9,18,4.8,17,20000,3400
우마이초밥,9,16,4.8,308,20000,2900
우동야마이루식-창동점,9,53,5.0,51,9800,1900
착한가격족선생,10,60,4.5,24,22000,4500
앞다리뒷다리,10,60,4.7,200,28000,4500
삼시족발,10,52,4.9,2219,14900,2000
잭아저씨족발보쌈-노원점,10,55,4.8,4768,20000,1000
구구족-쌍문역점,10,24,4.9,4691,19000,2400
이장군왕족발-창동점,10,42,4.9,1067,18000,2000
가장맛있는족발-은행사거리점,10,57,4.8,2278,29000,2000
족발야시장-상계점,10,52,4.8,711,29000,1000
구구족-노원상계점,10,52,4.9,747,18900,2900
족발야시장-쌍문점,10,55,4.9,4087,29000,3000
원할머니보쌈-수락산점,10,52,4.7,1761,30000,2000
개성보쌈족발-노원본점,10,52,4.7,821,20000,2000
보쌈애-방학동점,10,13,4.8,374,13000,2900
가장맛있는족발-수락산점,10,52,4.6,225,30000,2000
영동족발&보쌈-노원본점,10,52,5.0,190,17000,2000
도야족발-창동점,10,52,4.8,1097,18000,2000
족발야시장-창동역점,10,52,4.9,1278,30000,1000
족발야시장-공릉점,10,55,4.9,2499,30000,4000
족발야시장-수락산점,10,52,4.8,249,29000,2000
족발참잘하는집-창동점,10,52,4.9,159,20000,2000
윤씨네족보,10,52,4.8,378,28000,1000
소문난순대국&왕족발,10,52,4.9,288,12000,3000
달인보쌈,10,52,4.8,8,13000,2000
싸움의고수-은행사거리점,10,21,4.9,425,7500,3400
가장맛있는족발-중계브라운스톤점,10,56,4.8,248,25000,2900
마스터족발-방학점,10,52,4.9,139,25000,2000
뚱보족발보쌈,10,52,4.9,34,25000,1000
귀한족발-노원점,10,17,4.9,31,25000,3400
아씨네화덕족발-상계점,10,52,4.8,44,29000,2500
쉐프의1인족발보쌈,10,20,4.8,17,7900,3400
족발갓성비-공릉점,10,55,4.8,620,10000,5000
가장맛있는족발-창동먹자골목점,10,52,4.6,78,30000,2000
장수왕족발보쌈-본점,10,52,4.6,308,20000,2000
순수한방김가네왕족발,10,52,4.8,45,20000,2000
가장맛있는족발-보람마들점,10,52,4.9,42,30000,3000
함가네대왕족발,10,13,4.7,10,17000,2900
봉심이족발보쌈전문점,10,16,4.7,111,28000,3900
N도시락,10,55,4.9,328,10000,3500
가장맛있는족발-공릉점,10,55,4.7,1216,28000,6000
당일왕족발,10,52,4.9,491,27000,4000
숯불구이예가족발-노원점,10,55,4.7,15,18000,3000
박순남의오시는족족,10,52,4.9,14,26000,2000
마마족발,10,52,4.8,180,28000,2000
마왕족발-상계점,10,52,4.9,833,27000,3500
방학동황금족발-본점,10,56,4.8,147,20000,3000
오봉족발-본점,10,55,4.5,1389,10000,5000
남대문황금족발-공릉점,10,55,4.8,63,28000,3000
가장맛있는족발-상계역점,10,52,4.5,274,29000,4000
따스한곱창-방학역점,10,53,4.9,130,13900,1000
귀한1인족발보쌈,10,55,4.7,100,10000,5000
호세야오리바베큐-방학점,10,53,4.3,69,16000,2000
만족오향족발-창동점,10,52,4.3,10,22000,3000
종가집할매보쌈족발,10,52,4.1,55,12000,4000
오늘은족발이다,10,21,4.7,3,25000,3400
참맛있는족발보쌈,10,52,3.5,12,12000,4000
호세야오리바베큐-상계점,10,53,4.7,400,19000,3000
신라왕족발&보쌈,10,18,4.8,4,20000,3400
그리운시장족발,10,52,0.0,0,23000,4000
족발끝판왕-공릉점,10,55,4.6,261,10000,5000
신창족발,10,22,4.0,14,25000,5400
대문한정식,10,22,5.0,5,20000,3900
방태막국수-창동점,10,21,4.2,14,20000,3400
테이크돈,10,15,5.0,3,14000,2900
쪽갈비상회-쌍문점,10,49,4.9,161,15000,4000
명가마늘보쌈&청국장,10,19,5.0,1,30000,2900
코리안(KOREAN)명품족발,10,24,0.0,0,30000,6400
제주도흑돼지족발,10,16,0.0,0,15000,2900
완도황칠보쌈전복찜,10,20,0.0,0,25000,4400
롯데리아-마들역점,11,70,4.8,3880,10000,3500
고기혁명-노원점,11,54,5.0,270,14900,2500
연평도간장게장-방학점,11,50,0.0,0,12000,5500
파무쳐두마리파닭,11,64,4.4,781,15000,2000
세븐한식&분식천국,11,55,4.7,847,13000,3000
국밥생각-상계점,11,60,4.9,350,14000,2000
파스타집이야-노원점,11,40,4.9,453,8000,2500
라와마라탕-2호점,11,50,5.0,644,15000,3000
찌개덕후-본점,11,54,4.9,333,9900,3500
타코이찌타꼬야끼-노원전문점,11,60,4.8,213,14000,2000
죽이요-서울상계점,11,60,4.8,192,14000,2000
미미국물닭발-노원점,11,45,5.0,5,10000,3000
피플스파스타-노원점,11,40,4.9,199,14000,3000
정음지음-김치요리전문점,11,62,4.8,544,16000,2500
불아더숯불바베큐-노원점,11,60,5.0,132,16000,4000
냉면&불타오르냉-노원점,11,65,5.0,49,14000,2000
봉명동내커피-노원점,11,55,5.0,659,12000,3400
썬더치킨-상계점,11,40,4.8,504,14900,3000
시카고부대찌개-노원점,11,60,5.0,97,14000,2000
와우곱창막창,11,63,4.4,807,18000,2000
순삭곱창,11,53,4.9,109,20000,3000
레전드고기한상-도봉점,11,50,4.8,378,10000,3000
육회만드는사람들-노원점,11,65,4.9,47,20000,2000
산적육회-노원상계점,11,60,5.0,4,20000,2000
피자벨리-본점,11,50,4.9,479,15900,2000
오늘은스파게티&치즈밥-노원구점,11,50,4.8,69,13000,3500
천복스시,11,58,5.0,7,12000,3500
봉이네찜닭&닭도리탕-도봉노원점,11,60,4.5,124,19000,3000
LA교룡갈비찜닭,11,50,4.2,27,15000,2000
신의주찹쌀순대-도봉구청점,11,44,4.8,158,8000,5000
이쿠라멘&돈카츠-도봉점,11,50,4.7,30,12000,5500
벤앤제리스아이스크림-방학DV점,11,50,5.0,1,12000,5000
미아닭발,11,49,4.0,4,14000,3000
통영해물탕,11,50,2.9,34,15000,2000
죽사랑-창동점,11,60,3.3,173,15000,2000
집밥뚝딱-쌍문점,11,53,4.8,5,3000,5000
"곱,끌림delivery-도봉점",11,53,4.7,14,24900,3000
야수곱창,11,53,4.8,17,24000,5000
청춘불닭발-강북점,11,50,4.8,86,17000,5900
착한가격족선생,11,60,4.5,24,22000,4500
앞다리뒷다리,11,60,4.7,200,28000,4500
금강산감자탕,11,53,5.0,21,9000,5000
레게노돈삼닭,11,53,4.3,3,12000,8400
아라연대게-의정부점,11,53,2.0,1,30000,10000
연평도간장게장-방학점,11,50,0.0,0,12000,5500
덕수파스타-수유점,11,54,5.0,1,12000,3900
육회한덮밥,11,56,4.8,4722,14000,2000
청춘불닭발-노원본점,11,53,4.8,2696,15000,3000
이끌리오-중계점,11,51,4.9,331,13000,1000
잭아저씨족발보쌈-노원점,11,55,4.8,4768,20000,1000
후라이드참잘하는집-상계점,11,52,4.9,5217,10000,2000
롯데리아-노원역점,11,53,4.8,1970,10000,3500
육회한연어-노원점,11,56,4.7,2072,14000,2000
노랑통닭-중계점,11,52,4.7,2494,18000,3000
숯돌이곱창-노원점,11,53,4.7,1483,18000,2000
맛닭꼬-상계로또점,11,51,4.9,367,10000,1000
삼겹이차돌이,11,60,5.0,755,10000,2500
곱분이곱창-방학역점,11,53,4.9,332,18000,3000
카페아에-노원점,11,53,4.9,730,10000,2500
동근이숯불두마리치킨-노원점,11,70,4.9,1043,15900,2500
辛닭발닭날개,11,53,4.8,3218,15000,3400
프레드피자-서울노원점,11,53,4.9,209,15900,2000
놀떡-보람한신점,11,53,4.9,330,11900,1000
따스한곱창-방학역점,11,53,4.9,130,13900,1000
30년불멸의닭발-쌍문점,11,49,4.9,41,9000,900
요거트월드-노원점,11,55,5.0,57,10000,3400
파스타한끼!,11,53,4.9,74,5000,2000
롯데리아-창동역점,11,54,4.7,2424,10000,3500
닭발세상,11,53,4.8,381,16000,2000
구구족-노원상계점,11,51,4.9,747,18900,2900
족발야시장-상계점,11,51,4.8,711,29000,1000
직화삼겹직구삼-노원1호점,11,53,4.9,1789,12000,900
최배달떡순튀-노원점,11,53,4.9,211,12000,2000
탐나종합어시장-방학역점,11,56,4.9,879,20000,3000
옆집떡볶이-쌍문점,11,53,4.9,103,12000,4000
요녀석파스타&필라프-도봉점,11,54,4.9,555,10000,2900
피제이피자-노원직영점,11,54,4.9,1202,14900,1000
삼겹의민족-방학점,11,53,5.0,86,9900,3100
응큼떡볶이-창동점,11,53,5.0,32,9800,1900
큰집닭강정-마들점,11,52,4.6,162,8000,3500
족발야시장-쌍문점,11,55,4.9,4087,29000,3000
냉면&불타오르냉-노원점,11,65,5.0,49,14000,2000
파스타입니다-노원점,11,53,4.9,1310,7000,3200
육회란연어다-공릉묵동점,11,53,4.9,1081,14000,3500
피자1989-상계점,11,53,4.9,886,15900,3500
청춘묵은지김치찜-창동점,11,53,4.9,542,10000,3500
국민닭발-노원점,11,49,4.8,212,17000,3000
맛있는곱창-본점,11,53,4.9,479,22000,3000
육회바른연어-쌍문점,11,56,5.0,194,10000,3500
우동야마이루식-창동점,11,53,5.0,51,9800,1900
페리카나-상계역점,11,32,4.9,3251,17000,3000
크라칸치킨,11,53,4.9,205,14900,2000
지랄닭발-노원점,11,53,4.9,103,15000,2500
응급실국물떡볶이-서울창동역점,11,53,4.8,1504,15000,3500
가장맛있는족발-수락산점,11,51,4.6,225,30000,2000
족발야시장-공릉점,11,55,4.9,2499,30000,4000
BHC-도봉역점,11,53,4.8,9684,16000,3000
도야족발-창동점,11,51,4.8,1097,18000,2000
찜닭&닭도리달인-상계점,11,53,4.9,198,12000,3000
처갓집양념치킨-수락산점,11,53,4.9,1800,17000,2000
이삭토스트-방학점,11,58,4.9,2169,11000,4000
시카고부대찌개-노원점,11,60,5.0,97,14000,2000
할머니가래떡볶이-노원본점,11,53,4.9,1502,14000,1900
고기극찬-노원점,11,53,4.9,64,16800,2500
박은선닭꼬치-방학점,11,53,4.8,76,20000,3000
타코만타코야끼,11,53,4.8,125,13000,3000
신군산횟집,11,56,4.7,7,20000,3000
스시데마에,11,56,5.0,336,15500,1000
광수육회-방학점,11,53,4.9,292,15000,3000
1인육회,11,53,5.0,95,10900,3000
맛닭꼬-중계브라운스톤점,11,51,4.9,276,12000,3000
왕손피자-도봉구점,11,53,4.9,1267,15000,2000
순살만공격-상계점,11,53,4.9,88,14000,4000
명품동태탕&해물알찜,11,53,4.8,49,20000,2000
앤덤두마리치킨,11,53,4.6,1472,16000,2000
라사천마라탕-노원점,11,51,4.9,468,14900,3400
기영이숯불두마리치킨-노원상계점,11,52,4.9,45,15000,2500
세븐한식&분식천국,12,60,4.7,847,13000,3000
찌개덕후-본점,12,54,4.9,333,9900,3500
정음지음-김치요리전문점,12,62,4.8,544,16000,2500
레전드고기한상-도봉점,12,50,4.8,378,10000,3000
동대문엽기떡볶이-노원점,12,49,4.8,293,14000,3000
청년다방-노원역점,12,53,4.9,1134,13500,2500
수유리우동집-수락산점,12,20,4.6,396,13000,2900
동대문엽기떡볶이-중계점,12,53,4.8,616,14000,3000
명인만두-방학점,12,53,4.6,1508,12000,3000
스쿨푸드-노원점,12,53,4.8,678,15000,2500
꿈의김밥-노원점,12,19,4.8,167,5000,2900
걸작떡볶이치킨-쌍문창동점,12,53,4.8,3925,18000,3000
놀떡-보람한신점,12,53,4.9,330,11900,1000
김가네-방학역점,12,17,4.8,827,13000,2900
김밥천국-공릉점,12,53,4.7,974,11000,3000
최배달떡순튀-노원점,12,53,4.9,211,12000,2000
동대문엽기떡볶이-수락산점,12,53,4.9,127,14000,3000
은사즉석떡볶이-중계본점,12,53,4.9,431,12000,3000
킹스김밥,12,53,4.8,467,12000,3000
신참떡볶이-마들역점,12,53,4.9,386,12000,2500
배떡-쌍문점,12,20,4.8,981,12000,2900
떡참떡볶이참잘하는집-노원점,12,53,4.9,125,12000,2400
응큼떡볶이-창동점,12,53,5.0,32,9800,1900
응급실국물떡볶이-상계점,12,53,4.9,851,14000,2500
김밥천국-마들역점,12,53,4.5,338,15000,3000
옆집떡볶이-쌍문점,12,53,4.9,103,12000,4000
우동야마이루식-창동점,12,53,5.0,51,9800,1900
33떡볶이-상록마들점,12,53,4.7,96,14000,2000
얌샘김밥-중계역점,12,53,4.8,322,15000,3500
할머니가래떡볶이-노원본점,12,53,4.9,1502,14000,1900
신전떡볶이-도봉점,12,53,4.6,1978,15000,2500
달떡볶이-노원점,12,53,4.9,467,11000,2500
명가김밥,12,53,4.4,2330,12000,4000
명동분식-방학동도깨비시장점,12,14,4.8,130,10000,2900
청년다방-상계역점,12,53,4.7,1066,13500,3500
민들레김밥-쌍문홀씨점,12,15,4.8,42,12000,2900
마몽로제떡볶이-노원상계점,12,20,4.9,351,8000,3900
금강분식,12,25,4.9,1498,10000,3400
신전떡볶이-노원역점,12,17,4.8,218,15000,3400
신전떡볶이-은행사거리점,12,53,4.6,574,14000,4800
응급실국물떡볶이-쌍문역점,12,53,4.9,1017,15000,4000
응급실국물떡볶이-서울창동역점,12,53,4.8,1504,15000,3500
걸작떡볶이치킨-노원상계점,12,52,4.8,158,18000,3000
땅스떡볶이-방학점,12,53,5.0,101,11900,1000
떡볶이에빠지다,12,53,4.9,17,5000,2500
부리또인-노원역점,12,16,5.0,9,15000,2900
두레마을우동집-창동직영점,12,53,4.7,123,10000,3000
제육천재-도봉점,12,21,4.9,1485,9900,2400
타코만타코야끼,12,53,4.8,125,13000,3000
여우애김밥-상계점,12,53,4.8,111,12000,3200
은사즉석떡볶이-쌍문점,12,53,4.9,258,12000,2500
분식문방구-하계점,12,27,4.9,874,10000,6400
눈치떡-상계점,12,45,4.9,139,12000,2000
배떡-수락산역점,12,53,4.9,89,12000,3500
동대문엽기떡볶이-노원역점,12,53,4.9,31,14000,4000
밥깨비-노원점,12,53,4.9,1039,12000,2000
백남옥손만두-노원역점,12,16,4.8,61,10000,3400
최대섭대박김밥,12,21,4.8,230,15000,3400
2009미스터떡볶이&김밥,12,20,4.9,174,12000,3400
떡볶이스타-노원점,12,19,4.7,420,14000,2900
케이콜라보떡볶이김밥-상계역점,12,19,4.9,137,13000,3900
매운국물떡볶이밀방떡-도봉구점,12,20,4.9,587,14000,2900
스태프핫도그-방학점,12,18,4.9,586,8000,2900
삼첩분식-서울노원점,12,53,4.8,632,14000,4000
행컵-노원점,12,50,4.8,1522,14000,2500
미스테리분식,12,17,4.9,104,14000,2900
떡군이네떡볶이-노원상계점,12,18,4.9,246,12000,3400
불볶이와튀김범벅-창동점,12,53,4.6,323,13000,4000
김종구부산어묵-노원점,12,53,4.7,3,9900,3500
명품분식청년다방-노원점,12,53,4.6,11,13500,2000
참분식,12,22,4.7,134,13000,3400
죠스떡볶이-중계은행사거리점,12,53,4.7,22,13000,4500
명품만두-도봉점,12,17,5.0,3,10000,2900
파라솔분식,12,15,4.9,52,12000,2900
봉구스밥버거-방학점,12,54,4.9,505,10000,3500
권순옥김밥,12,49,4.8,205,12000,4000
타코이찌타꼬야끼-노원전문점,12,60,4.8,213,14000,2000
아담만두-중계본점,12,20,5.0,22,9000,4400
돈카춘돈까스&카레-노원점,12,20,5.0,212,10000,2900
채선당도시락&샐러드-마들점,12,18,4.8,562,15000,2900
크래미김밥우동집,12,26,4.9,137,10000,5400
죠스떡볶이-방학역점,12,53,4.6,216,15000,4000
파파스김밥&떡볶이,12,23,4.8,393,15000,3400
떡참떡볶이참잘하는집-도봉창동점,12,53,4.9,90,9000,4000
걸작떡볶이치킨-방학점,12,53,4.8,1847,18000,3500
스파게티스토리-노원점,12,16,4.9,1133,13000,2400
달떡볶이-공릉점,12,53,4.9,36,13000,6500
곱분이곱창-방학역점,12,53,4.9,332,18000,3000
응급실국물떡볶이-서울방학점,12,53,4.8,270,14000,4500
민들레김밥,12,53,4.0,35,15000,3000
모찌네타코야끼콩떡빙수-번동점,12,25,5.0,54,11000,5400
혜화동떡볶이극장-서울상계점,12,53,4.7,10,13900,3000
볶음밥주는떡볶이,12,15,5.0,3,13000,2900
태리로제떡볶이-서울쌍문점,12,53,4.9,42,17000,5000
바보국수,12,16,4.8,4,12000,2800
최고당돈가스-쌍문역점,12,22,4.9,676,10000,3900
파스타입니다-노원점,12,53,4.9,1310,7000,3200
프랭크수제치즈버거-방학역점,12,54,4.8,767,9900,3200
아오리라멘-노원점,12,53,4.8,365,12000,2500
원조멸치국수-마들점,12,17,4.5,54,13000,2900
감탄떡볶이-보람점,12,53,4.5,77,13000,2500
멘야마쯔리딜리버리라멘-중계점,12,19,4.9,175,12000,3400
고기듬뿍대왕비빔밥-서울노원점,12,21,5.0,920,19000,2900
명품만두-수락산점,12,15,4.6,11,10000,2900
요거요거맛있네,12,18,4.8,13,13000,3900
짱구네김밥분식,12,22,4.7,25,14000,3900
쉰요사오뎅,12,53,4.0,4,12000,3000
총각네타코야끼,12,27,4.9,489,9000,6400
낙지한마리수제비-노원점,12,20,4.6,46,18000,2900
만두퍼드림,12,19,5.0,20,10000,4400
차고집칡냉면&수제돈까스,12,18,4.9,1746,12000,2900
비엣포쌀국수,12,53,4.8,314,15900,3500
뽁자떡볶이,12,12,4.0,3,12000,2900
프랭크수제치즈버거-수락산역점,12,54,4.7,310,9900,3300
수제떡볶이꼬레노,12,53,4.5,198,14000,3000
내고향왕만두,12,17,5.0,61,10000,4400
502세컨즈카페-노원점,12,26,4.8,1280,14000,3000
피자아이씨-중계본동점,12,55,4.9,58,15000,3000
육회란연어다-공릉묵동점,12,53,4.9,1081,14000,3500
봉명동내커피-노원점,13,55,5.0,659,12000,3400
벤앤제리스아이스크림-방학DV점,13,50,5.0,1,12000,5000
크로플각-본점,13,16,5.0,3785,9900,1800
소확행베이커리,13,23,4.9,1293,16500,1500
빽다방-노원문화의거리점,13,15,4.9,549,8000,3400
크리스피크림도넛-롯데노원점,13,52,4.9,211,15000,2000
카페아에-노원점,13,53,4.9,730,10000,2500
빽다방-수락산역점,13,55,5.0,206,8800,3000
포트캔커피-방학점,13,55,4.8,13,14000,2000
와플대학-방학역캠퍼스점,13,18,4.8,73,10000,2900
요거트월드-노원점,13,55,5.0,57,10000,3400
커피킹-방학점,13,55,4.8,77,10000,2500
리프베이글&샌드위치,13,55,5.0,246,9800,1500
포트캔커피(노원은행사거리점),13,41,4.9,140,11900,3000
배배커피(BAEBAECOFFEE),13,21,5.0,462,10000,3400
만스에스테이트-도봉점,13,17,5.0,148,5000,3400
커스텀커피-중계점,13,21,4.9,25,15000,2400
O'cafe오카페,13,20,4.9,167,13000,2900
배스킨라빈스-노원로데오점,13,52,4.8,949,13500,3000
카페작약,13,23,4.9,197,11000,1000
읍천리382-노원중계점,13,55,4.9,132,12000,3000
빽다방-노원역북부점,13,18,4.9,139,8000,2900
감각,13,52,4.9,114,9900,2000
빽다방-노원역우리은행점,13,18,4.9,708,8000,3400
모퉁이카페,13,55,4.9,415,8500,2500
(주)빵굽는사람들,13,55,4.9,90,15000,2000
크로플전문점야미디저트,13,18,5.0,14,9900,2400
배스킨라빈스-도봉점,13,60,4.9,41,13500,3000
할리스-노원문화의거리점,13,52,4.8,171,10000,2000
통큰커피청년다방-노원역점,13,53,4.9,7,13500,2000
요거프레소-노원문화점,13,21,5.0,1160,17000,3400
카페봄날-방학점,13,55,4.9,163,7000,3300
요거트아이스크림의정석-쌍문점,13,16,4.9,243,8000,3900
Pokeallday포케&샐러드-노원점,13,53,5.0,12,12000,3500
설빙-수락산역점,13,56,4.8,315,11900,4000
디저트얌수제마카롱,13,56,5.0,71,8000,2000
디저트39-노원점,13,17,5.0,6,18500,3400
빽다방-창동역서부점,13,19,4.5,17,8000,3400
빽다방-방학역점,13,56,4.7,32,5000,4300
파리바게뜨-마들역점,13,41,4.8,1939,12000,2200
카페플랫&디저트,13,14,5.0,4,9000,1900
모노치즈-방학역점,13,17,5.0,63,8000,2900
쥬씨-차얌중계브라운스톤점,13,41,4.9,73,10000,3500
더벤티-방학역점,13,56,5.0,16,8000,3400
배스킨라빈스-마들역점,13,41,4.8,817,13500,3000
쥬씨-방학역점,13,56,4.9,318,10000,3300
마법사꽈베기도너츠,13,21,4.8,23,10000,3400
에그몬-은행사거리점,13,24,5.0,108,10000,4400
달빛과일-노원점,13,22,4.8,87,13000,3400
파리바게뜨-도봉1동점,13,56,4.9,1103,12000,2200
파리바게뜨-수락산역점,13,56,4.9,195,12000,2200
설빙-은행사거리점,13,47,4.9,372,13900,5000
하루달곰,13,16,5.0,16,12000,2900
노원토스트,13,56,5.0,476,10000,3500
푸욱젤라또,13,17,5.0,25,15000,3400
와플대학-노원역캠퍼스점,13,52,3.0,1,10000,3000
부스터샷커피-방학점,13,14,4.8,13,9000,2900
컴포즈커피-상계중앙점,13,17,5.0,16,10000,3400
곤트란쉐리에-방학모비우스스퀘어점,13,14,5.0,7,15000,2900
매머드익스프레스-노원롯데점,13,17,5.0,44,10000,3400
카페.미니,13,19,5.0,65,11000,2900
샐러디-노원역점,13,14,4.9,554,9000,3400
샹도르과자점,13,10,4.8,40,12000,3400
샐러두,13,19,4.9,69,13000,2900
빙수의여신-노원점,13,52,5.0,36,15000,3500
커피빈-노원역점,13,52,4.9,86,9000,4000
더벤티-창동점,13,56,4.8,89,8000,3500
민부곤과자점,13,13,4.9,210,10000,2900
하마쿡,13,13,5.0,60,11000,2900
배스킨라빈스-수락산역점,13,56,4.7,346,13500,3000
파리바게뜨-상계보람점,13,56,4.8,1072,12000,2200
수제디저트카페쥬드,13,56,5.0,217,11000,1500
파리바게뜨-상계제일점,13,41,4.9,883,12000,2200
이삭토스트-방학점,13,58,4.9,2169,11000,4000
하이오커피-상계역점,13,18,0.0,0,15000,3900
던킨-마들점,13,41,4.8,816,13000,3000
컴포즈커피-덕성여대점,13,27,4.9,253,5000,6400
뚜레쥬르-상계보람한신점,13,11,4.9,212,12000,2900
달쥬과일상점-노원35호점,13,41,4.5,2,15000,1500
그루카페,13,56,4.6,10,9900,3000
아토커피-노원점,13,19,4.8,12,9000,3900
아띠몽호두과자,13,17,4.9,11,15000,2900
"과일에반하다,프루타-쌍문점",13,22,5.0,7,12000,5400
커피세븐-상계점,13,16,5.0,3,15000,2900
마리웨일마카롱-노원로데오점,13,52,4.9,15,13000,2000
팔공티-노원점,13,52,5.0,22,8000,3900
배스킨라빈스-노원역점,13,52,4.8,235,13500,3000
CGV-수유점,13,19,4.7,43,13000,5400
달빛마루-노원점,13,17,5.0,3,12000,2900
기가델리,13,56,5.0,1,12000,2500
종로떡전문점,13,13,4.9,62,15000,3900
영미쿠키,13,16,5.0,18,5000,3400
쥬씨-차얌노원점,13,52,4.6,61,12000,3500
호두앤미-수락산본점,13,17,5.0,5,14000,3400
제이몽디저트&수제마카롱,13,56,5.0,164,10000,3000
1인커피,13,17,4.6,10,12000,2900
빙달DessertCafe-노원점,13,56,4.7,507,15000,2500
할리스-수락산역점,13,56,4.9,13,12000,3400
우노비커피,13,18,5.0,14,10500,3400
루트비커피-쌍문점,13,17,4.8,12,9000,3400
라트커피,13,26,5.0,243,12000,4400
이디야커피-방학중앙점,13,56,4.9,29,10000,3000
조이커피JOYCOFFEE,13,15,4.7,7,10000,2900
레인보우커피,13,16,5.0,14,11000,2900
스윗모드,13,17,5.0,19,12000,3400
오와케이크-수락산역점,13,15,0.0,0,10000,2900
카페23,13,15,4.9,64,8000,2900
카페라운드,13,17,5.0,4,10000,3400
풀무원녹즙-도봉홈가맹점,13,56,0.0,0,10000,2000
카페플라워-도봉점,13,16,5.0,6,12000,2900
사계-상계점,13,15,0.0,0,12000,2900
과일팡-창동점,13,24,4.9,171,15000,5400
매머드익스프레스-창동점,13,56,4.8,57,3000,4500
텀브커피쌍문점,13,23,5.0,3,10000,4400
샐러드로우&트라타-노원점,13,56,4.9,139,11000,2700
켁터스커피,13,22,4.8,21,8000,3400
